lastSaleDate,year,month,monthName,quarter
2017-08-18 00:00:00+00:00,2017.0,8.0,August,3.0
,,,,
2017-08-17 00:00:00+00:00,2017.0,8.0,August,3.0
2021-02-03 00:00:00+00:00,2021.0,2.0,February,1.0
2013-10-11 00:00:00+00:00,2013.0,10.0,October,4.0
2022-06-06 00:00:00+00:00,2022.0,6.0,June,2.0
2024-10-29 00:00:00+00:00,2024.0,10.0,October,4.0
2000-10-18 00:00:00+00:00,2000.0,10.0,October,4.0
2023-07-13 00:00:00+00:00,2023.0,7.0,July,3.0
1998-04-28 00:00:00+00:00,1998.0,4.0,April,2.0
2022-09-06 00:00:00+00:00,2022.0,9.0,September,3.0
2008-09-05 00:00:00+00:00,2008.0,9.0,September,3.0
2020-06-09 00:00:00+00:00,2020.0,6.0,June,2.0
2020-06-19 00:00:00+00:00,2020.0,6.0,June,2.0
2017-07-28 00:00:00+00:00,2017.0,7.0,July,3.0
1997-09-08 00:00:00+00:00,1997.0,9.0,September,3.0
2013-01-01 00:00:00+00:00,2013.0,1.0,January,1.0
2012-03-29 00:00:00+00:00,2012.0,3.0,March,1.0
2018-03-09 00:00:00+00:00,2018.0,3.0,March,1.0
2023-01-13 00:00:00+00:00,2023.0,1.0,January,1.0
2021-09-16 00:00:00+00:00,2021.0,9.0,September,3.0
2021-08-26 00:00:00+00:00,2021.0,8.0,August,3.0
2001-11-15 00:00:00+00:00,2001.0,11.0,November,4.0
2023-09-08 00:00:00+00:00,2023.0,9.0,September,3.0
2023-06-08 00:00:00+00:00,2023.0,6.0,June,2.0
2017-06-30 00:00:00+00:00,2017.0,6.0,June,2.0
2011-06-13 00:00:00+00:00,2011.0,6.0,June,2.0
2012-06-18 00:00:00+00:00,2012.0,6.0,June,2.0
2019-12-06 00:00:00+00:00,2019.0,12.0,December,4.0
2019-05-14 00:00:00+00:00,2019.0,5.0,May,2.0
2022-01-27 00:00:00+00:00,2022.0,1.0,January,1.0
2001-07-24 00:00:00+00:00,2001.0,7.0,July,3.0
2010-09-24 00:00:00+00:00,2010.0,9.0,September,3.0
2010-06-08 00:00:00+00:00,2010.0,6.0,June,2.0
2021-04-26 00:00:00+00:00,2021.0,4.0,April,2.0
2021-01-13 00:00:00+00:00,2021.0,1.0,January,1.0
2019-11-06 00:00:00+00:00,2019.0,11.0,November,4.0
2022-06-22 00:00:00+00:00,2022.0,6.0,June,2.0
2020-10-08 00:00:00+00:00,2020.0,10.0,October,4.0
2011-07-29 00:00:00+00:00,2011.0,7.0,July,3.0
2009-05-06 00:00:00+00:00,2009.0,5.0,May,2.0
1998-02-05 00:00:00+00:00,1998.0,2.0,February,1.0
2016-01-13 00:00:00+00:00,2016.0,1.0,January,1.0
2020-10-05 00:00:00+00:00,2020.0,10.0,October,4.0
2019-05-31 00:00:00+00:00,2019.0,5.0,May,2.0
2017-06-15 00:00:00+00:00,2017.0,6.0,June,2.0
2022-03-04 00:00:00+00:00,2022.0,3.0,March,1.0
2008-09-12 00:00:00+00:00,2008.0,9.0,September,3.0
2022-01-10 00:00:00+00:00,2022.0,1.0,January,1.0
2017-09-18 00:00:00+00:00,2017.0,9.0,September,3.0
2009-02-19 00:00:00+00:00,2009.0,2.0,February,1.0
2022-02-22 00:00:00+00:00,2022.0,2.0,February,1.0
2023-10-17 00:00:00+00:00,2023.0,10.0,October,4.0
2013-01-09 00:00:00+00:00,2013.0,1.0,January,1.0
2014-12-15 00:00:00+00:00,2014.0,12.0,December,4.0
2012-10-11 00:00:00+00:00,2012.0,10.0,October,4.0
2024-05-22 00:00:00+00:00,2024.0,5.0,May,2.0
2020-05-20 00:00:00+00:00,2020.0,5.0,May,2.0
2005-03-23 00:00:00+00:00,2005.0,3.0,March,1.0
2024-04-15 00:00:00+00:00,2024.0,4.0,April,2.0
2022-11-04 00:00:00+00:00,2022.0,11.0,November,4.0
2005-12-27 00:00:00+00:00,2005.0,12.0,December,4.0
2008-08-15 00:00:00+00:00,2008.0,8.0,August,3.0
2018-09-06 00:00:00+00:00,2018.0,9.0,September,3.0
2009-09-02 00:00:00+00:00,2009.0,9.0,September,3.0
2006-09-14 00:00:00+00:00,2006.0,9.0,September,3.0
2013-08-05 00:00:00+00:00,2013.0,8.0,August,3.0
2011-06-24 00:00:00+00:00,2011.0,6.0,June,2.0
2003-11-14 00:00:00+00:00,2003.0,11.0,November,4.0
2023-06-02 00:00:00+00:00,2023.0,6.0,June,2.0
1997-09-05 00:00:00+00:00,1997.0,9.0,September,3.0
2023-02-15 00:00:00+00:00,2023.0,2.0,February,1.0
2021-08-09 00:00:00+00:00,2021.0,8.0,August,3.0
2021-11-08 00:00:00+00:00,2021.0,11.0,November,4.0
2005-01-19 00:00:00+00:00,2005.0,1.0,January,1.0
2002-04-24 00:00:00+00:00,2002.0,4.0,April,2.0
2022-11-10 00:00:00+00:00,2022.0,11.0,November,4.0
2001-06-01 00:00:00+00:00,2001.0,6.0,June,2.0
2022-08-08 00:00:00+00:00,2022.0,8.0,August,3.0
2007-04-10 00:00:00+00:00,2007.0,4.0,April,2.0
2011-02-11 00:00:00+00:00,2011.0,2.0,February,1.0
2020-12-10 00:00:00+00:00,2020.0,12.0,December,4.0
2005-02-11 00:00:00+00:00,2005.0,2.0,February,1.0
2020-10-13 00:00:00+00:00,2020.0,10.0,October,4.0
2021-06-29 00:00:00+00:00,2021.0,6.0,June,2.0
2018-06-06 00:00:00+00:00,2018.0,6.0,June,2.0
2021-06-02 00:00:00+00:00,2021.0,6.0,June,2.0
2012-11-09 00:00:00+00:00,2012.0,11.0,November,4.0
2016-01-25 00:00:00+00:00,2016.0,1.0,January,1.0
2023-06-06 00:00:00+00:00,2023.0,6.0,June,2.0
2002-01-17 00:00:00+00:00,2002.0,1.0,January,1.0
2016-06-21 00:00:00+00:00,2016.0,6.0,June,2.0
2007-06-29 00:00:00+00:00,2007.0,6.0,June,2.0
2022-05-16 00:00:00+00:00,2022.0,5.0,May,2.0
2021-03-10 00:00:00+00:00,2021.0,3.0,March,1.0
2019-10-11 00:00:00+00:00,2019.0,10.0,October,4.0
2023-03-16 00:00:00+00:00,2023.0,3.0,March,1.0
2022-03-31 00:00:00+00:00,2022.0,3.0,March,1.0
2007-05-16 00:00:00+00:00,2007.0,5.0,May,2.0
2022-05-17 00:00:00+00:00,2022.0,5.0,May,2.0
2019-05-15 00:00:00+00:00,2019.0,5.0,May,2.0
2022-05-05 00:00:00+00:00,2022.0,5.0,May,2.0
2011-05-23 00:00:00+00:00,2011.0,5.0,May,2.0
2014-01-17 00:00:00+00:00,2014.0,1.0,January,1.0
2013-05-23 00:00:00+00:00,2013.0,5.0,May,2.0
1998-12-29 00:00:00+00:00,1998.0,12.0,December,4.0
2018-09-07 00:00:00+00:00,2018.0,9.0,September,3.0
2019-11-20 00:00:00+00:00,2019.0,11.0,November,4.0
2020-07-10 00:00:00+00:00,2020.0,7.0,July,3.0
2020-06-25 00:00:00+00:00,2020.0,6.0,June,2.0
2015-09-29 00:00:00+00:00,2015.0,9.0,September,3.0
2022-02-11 00:00:00+00:00,2022.0,2.0,February,1.0
2021-11-30 00:00:00+00:00,2021.0,11.0,November,4.0
2018-06-01 00:00:00+00:00,2018.0,6.0,June,2.0
2018-10-05 00:00:00+00:00,2018.0,10.0,October,4.0
2018-04-18 00:00:00+00:00,2018.0,4.0,April,2.0
2019-04-26 00:00:00+00:00,2019.0,4.0,April,2.0
2000-08-03 00:00:00+00:00,2000.0,8.0,August,3.0
2020-11-18 00:00:00+00:00,2020.0,11.0,November,4.0
2005-04-14 00:00:00+00:00,2005.0,4.0,April,2.0
2009-09-22 00:00:00+00:00,2009.0,9.0,September,3.0
2020-09-15 00:00:00+00:00,2020.0,9.0,September,3.0
2022-06-28 00:00:00+00:00,2022.0,6.0,June,2.0
2020-03-06 00:00:00+00:00,2020.0,3.0,March,1.0
2021-05-03 00:00:00+00:00,2021.0,5.0,May,2.0
2016-03-21 00:00:00+00:00,2016.0,3.0,March,1.0
2014-09-03 00:00:00+00:00,2014.0,9.0,September,3.0
2010-06-02 00:00:00+00:00,2010.0,6.0,June,2.0
2010-06-30 00:00:00+00:00,2010.0,6.0,June,2.0
2018-03-12 00:00:00+00:00,2018.0,3.0,March,1.0
2016-10-31 00:00:00+00:00,2016.0,10.0,October,4.0
2024-05-20 00:00:00+00:00,2024.0,5.0,May,2.0
2015-03-04 00:00:00+00:00,2015.0,3.0,March,1.0
2015-05-29 00:00:00+00:00,2015.0,5.0,May,2.0
2013-07-09 00:00:00+00:00,2013.0,7.0,July,3.0
2016-09-27 00:00:00+00:00,2016.0,9.0,September,3.0
2016-03-16 00:00:00+00:00,2016.0,3.0,March,1.0
2020-08-12 00:00:00+00:00,2020.0,8.0,August,3.0
2022-05-10 00:00:00+00:00,2022.0,5.0,May,2.0
2018-04-24 00:00:00+00:00,2018.0,4.0,April,2.0
2011-10-06 00:00:00+00:00,2011.0,10.0,October,4.0
2016-06-15 00:00:00+00:00,2016.0,6.0,June,2.0
2021-03-18 00:00:00+00:00,2021.0,3.0,March,1.0
2011-10-25 00:00:00+00:00,2011.0,10.0,October,4.0
2008-11-20 00:00:00+00:00,2008.0,11.0,November,4.0
1995-04-21 00:00:00+00:00,1995.0,4.0,April,2.0
2023-06-29 00:00:00+00:00,2023.0,6.0,June,2.0
2022-01-21 00:00:00+00:00,2022.0,1.0,January,1.0
2001-04-12 00:00:00+00:00,2001.0,4.0,April,2.0
2018-08-03 00:00:00+00:00,2018.0,8.0,August,3.0
1991-12-26 00:00:00+00:00,1991.0,12.0,December,4.0
2018-10-15 00:00:00+00:00,2018.0,10.0,October,4.0
2001-12-18 00:00:00+00:00,2001.0,12.0,December,4.0
2020-07-27 00:00:00+00:00,2020.0,7.0,July,3.0
2011-07-05 00:00:00+00:00,2011.0,7.0,July,3.0
2014-09-26 00:00:00+00:00,2014.0,9.0,September,3.0
2021-09-29 00:00:00+00:00,2021.0,9.0,September,3.0
2017-04-06 00:00:00+00:00,2017.0,4.0,April,2.0
2022-07-27 00:00:00+00:00,2022.0,7.0,July,3.0
2009-01-06 00:00:00+00:00,2009.0,1.0,January,1.0
2020-10-21 00:00:00+00:00,2020.0,10.0,October,4.0
2022-12-19 00:00:00+00:00,2022.0,12.0,December,4.0
2021-07-07 00:00:00+00:00,2021.0,7.0,July,3.0
1973-08-16 00:00:00+00:00,1973.0,8.0,August,3.0
2023-07-17 00:00:00+00:00,2023.0,7.0,July,3.0
2007-06-13 00:00:00+00:00,2007.0,6.0,June,2.0
2019-03-25 00:00:00+00:00,2019.0,3.0,March,1.0
2023-10-25 00:00:00+00:00,2023.0,10.0,October,4.0
2006-10-24 00:00:00+00:00,2006.0,10.0,October,4.0
1998-07-30 00:00:00+00:00,1998.0,7.0,July,3.0
2013-08-28 00:00:00+00:00,2013.0,8.0,August,3.0
2014-12-08 00:00:00+00:00,2014.0,12.0,December,4.0
2013-12-17 00:00:00+00:00,2013.0,12.0,December,4.0
2021-09-15 00:00:00+00:00,2021.0,9.0,September,3.0
1998-06-25 00:00:00+00:00,1998.0,6.0,June,2.0
2024-01-31 00:00:00+00:00,2024.0,1.0,January,1.0
2017-08-15 00:00:00+00:00,2017.0,8.0,August,3.0
2020-07-22 00:00:00+00:00,2020.0,7.0,July,3.0
2005-03-01 00:00:00+00:00,2005.0,3.0,March,1.0
2015-10-16 00:00:00+00:00,2015.0,10.0,October,4.0
2022-11-21 00:00:00+00:00,2022.0,11.0,November,4.0
2014-02-24 00:00:00+00:00,2014.0,2.0,February,1.0
2016-07-28 00:00:00+00:00,2016.0,7.0,July,3.0
2017-06-16 00:00:00+00:00,2017.0,6.0,June,2.0
2021-03-16 00:00:00+00:00,2021.0,3.0,March,1.0
2004-10-01 00:00:00+00:00,2004.0,10.0,October,4.0
2012-03-23 00:00:00+00:00,2012.0,3.0,March,1.0
2018-02-15 00:00:00+00:00,2018.0,2.0,February,1.0
2015-07-28 00:00:00+00:00,2015.0,7.0,July,3.0
2021-10-19 00:00:00+00:00,2021.0,10.0,October,4.0
2021-08-10 00:00:00+00:00,2021.0,8.0,August,3.0
2013-08-29 00:00:00+00:00,2013.0,8.0,August,3.0
2004-07-27 00:00:00+00:00,2004.0,7.0,July,3.0
2008-02-26 00:00:00+00:00,2008.0,2.0,February,1.0
1985-05-23 00:00:00+00:00,1985.0,5.0,May,2.0
2020-09-09 00:00:00+00:00,2020.0,9.0,September,3.0
2018-10-18 00:00:00+00:00,2018.0,10.0,October,4.0
2022-01-07 00:00:00+00:00,2022.0,1.0,January,1.0
2014-10-17 00:00:00+00:00,2014.0,10.0,October,4.0
2004-09-21 00:00:00+00:00,2004.0,9.0,September,3.0
2021-12-30 00:00:00+00:00,2021.0,12.0,December,4.0
2023-03-13 00:00:00+00:00,2023.0,3.0,March,1.0
2002-04-29 00:00:00+00:00,2002.0,4.0,April,2.0
2018-08-28 00:00:00+00:00,2018.0,8.0,August,3.0
2018-06-11 00:00:00+00:00,2018.0,6.0,June,2.0
2020-10-16 00:00:00+00:00,2020.0,10.0,October,4.0
2020-08-14 00:00:00+00:00,2020.0,8.0,August,3.0
2006-03-01 00:00:00+00:00,2006.0,3.0,March,1.0
2022-05-27 00:00:00+00:00,2022.0,5.0,May,2.0
2000-06-29 00:00:00+00:00,2000.0,6.0,June,2.0
1992-06-25 00:00:00+00:00,1992.0,6.0,June,2.0
2020-08-05 00:00:00+00:00,2020.0,8.0,August,3.0
2008-10-21 00:00:00+00:00,2008.0,10.0,October,4.0
2017-04-17 00:00:00+00:00,2017.0,4.0,April,2.0
2013-04-04 00:00:00+00:00,2013.0,4.0,April,2.0
2004-02-18 00:00:00+00:00,2004.0,2.0,February,1.0
2008-02-29 00:00:00+00:00,2008.0,2.0,February,1.0
1999-06-08 00:00:00+00:00,1999.0,6.0,June,2.0
2019-01-08 00:00:00+00:00,2019.0,1.0,January,1.0
2011-09-22 00:00:00+00:00,2011.0,9.0,September,3.0
2013-08-07 00:00:00+00:00,2013.0,8.0,August,3.0
2015-06-15 00:00:00+00:00,2015.0,6.0,June,2.0
2022-04-08 00:00:00+00:00,2022.0,4.0,April,2.0
2021-04-15 00:00:00+00:00,2021.0,4.0,April,2.0
2020-05-08 00:00:00+00:00,2020.0,5.0,May,2.0
2020-10-12 00:00:00+00:00,2020.0,10.0,October,4.0
2016-02-29 00:00:00+00:00,2016.0,2.0,February,1.0
2021-01-15 00:00:00+00:00,2021.0,1.0,January,1.0
2007-03-23 00:00:00+00:00,2007.0,3.0,March,1.0
2021-08-03 00:00:00+00:00,2021.0,8.0,August,3.0
2003-03-28 00:00:00+00:00,2003.0,3.0,March,1.0
2017-01-09 00:00:00+00:00,2017.0,1.0,January,1.0
1992-07-30 00:00:00+00:00,1992.0,7.0,July,3.0
2007-04-16 00:00:00+00:00,2007.0,4.0,April,2.0
2001-11-20 00:00:00+00:00,2001.0,11.0,November,4.0
2022-04-12 00:00:00+00:00,2022.0,4.0,April,2.0
2017-02-21 00:00:00+00:00,2017.0,2.0,February,1.0
2001-08-13 00:00:00+00:00,2001.0,8.0,August,3.0
2011-12-07 00:00:00+00:00,2011.0,12.0,December,4.0
2013-04-24 00:00:00+00:00,2013.0,4.0,April,2.0
2013-01-28 00:00:00+00:00,2013.0,1.0,January,1.0
2023-12-07 00:00:00+00:00,2023.0,12.0,December,4.0
1995-11-16 00:00:00+00:00,1995.0,11.0,November,4.0
2016-11-29 00:00:00+00:00,2016.0,11.0,November,4.0
2022-12-16 00:00:00+00:00,2022.0,12.0,December,4.0
2019-04-25 00:00:00+00:00,2019.0,4.0,April,2.0
1999-03-19 00:00:00+00:00,1999.0,3.0,March,1.0
1997-11-19 00:00:00+00:00,1997.0,11.0,November,4.0
2020-08-03 00:00:00+00:00,2020.0,8.0,August,3.0
1999-06-23 00:00:00+00:00,1999.0,6.0,June,2.0
2020-08-31 00:00:00+00:00,2020.0,8.0,August,3.0
2022-06-17 00:00:00+00:00,2022.0,6.0,June,2.0
2019-01-14 00:00:00+00:00,2019.0,1.0,January,1.0
2015-11-18 00:00:00+00:00,2015.0,11.0,November,4.0
2018-04-19 00:00:00+00:00,2018.0,4.0,April,2.0
2020-11-02 00:00:00+00:00,2020.0,11.0,November,4.0
2020-01-06 00:00:00+00:00,2020.0,1.0,January,1.0
2021-07-06 00:00:00+00:00,2021.0,7.0,July,3.0
1999-05-21 00:00:00+00:00,1999.0,5.0,May,2.0
2019-11-15 00:00:00+00:00,2019.0,11.0,November,4.0
2021-03-23 00:00:00+00:00,2021.0,3.0,March,1.0
2021-02-18 00:00:00+00:00,2021.0,2.0,February,1.0
1980-01-09 00:00:00+00:00,1980.0,1.0,January,1.0
2020-09-03 00:00:00+00:00,2020.0,9.0,September,3.0
2007-08-20 00:00:00+00:00,2007.0,8.0,August,3.0
2019-04-24 00:00:00+00:00,2019.0,4.0,April,2.0
2021-11-03 00:00:00+00:00,2021.0,11.0,November,4.0
2020-10-30 00:00:00+00:00,2020.0,10.0,October,4.0
2006-01-24 00:00:00+00:00,2006.0,1.0,January,1.0
2014-02-27 00:00:00+00:00,2014.0,2.0,February,1.0
2018-12-19 00:00:00+00:00,2018.0,12.0,December,4.0
2018-08-02 00:00:00+00:00,2018.0,8.0,August,3.0
2020-12-08 00:00:00+00:00,2020.0,12.0,December,4.0
1982-10-20 00:00:00+00:00,1982.0,10.0,October,4.0
2021-03-08 00:00:00+00:00,2021.0,3.0,March,1.0
2024-02-22 00:00:00+00:00,2024.0,2.0,February,1.0
2011-12-19 00:00:00+00:00,2011.0,12.0,December,4.0
2005-06-24 00:00:00+00:00,2005.0,6.0,June,2.0
2021-07-22 00:00:00+00:00,2021.0,7.0,July,3.0
2013-10-10 00:00:00+00:00,2013.0,10.0,October,4.0
2021-03-24 00:00:00+00:00,2021.0,3.0,March,1.0
2018-08-23 00:00:00+00:00,2018.0,8.0,August,3.0
2016-03-02 00:00:00+00:00,2016.0,3.0,March,1.0
2016-04-01 00:00:00+00:00,2016.0,4.0,April,2.0
2023-12-04 00:00:00+00:00,2023.0,12.0,December,4.0
2019-06-25 00:00:00+00:00,2019.0,6.0,June,2.0
2001-10-31 00:00:00+00:00,2001.0,10.0,October,4.0
1991-11-07 00:00:00+00:00,1991.0,11.0,November,4.0
2020-08-11 00:00:00+00:00,2020.0,8.0,August,3.0
2018-10-23 00:00:00+00:00,2018.0,10.0,October,4.0
2013-06-21 00:00:00+00:00,2013.0,6.0,June,2.0
2018-01-24 00:00:00+00:00,2018.0,1.0,January,1.0
1992-06-29 00:00:00+00:00,1992.0,6.0,June,2.0
2006-07-20 00:00:00+00:00,2006.0,7.0,July,3.0
1971-09-30 00:00:00+00:00,1971.0,9.0,September,3.0
2015-09-23 00:00:00+00:00,2015.0,9.0,September,3.0
2020-02-25 00:00:00+00:00,2020.0,2.0,February,1.0
2011-09-19 00:00:00+00:00,2011.0,9.0,September,3.0
