lastSaleDate,year,month,monthName,quarter,date_id
2017-08-18 00:00:00+00:00,2017,8,August,3,1
2017-08-17 00:00:00+00:00,2017,8,August,3,2
2021-02-03 00:00:00+00:00,2021,2,February,1,3
2013-10-11 00:00:00+00:00,2013,10,October,4,4
2022-06-06 00:00:00+00:00,2022,6,June,2,5
2024-10-29 00:00:00+00:00,2024,10,October,4,6
2000-10-18 00:00:00+00:00,2000,10,October,4,7
2023-07-13 00:00:00+00:00,2023,7,July,3,8
1998-04-28 00:00:00+00:00,1998,4,April,2,9
2022-09-06 00:00:00+00:00,2022,9,September,3,10
2008-09-05 00:00:00+00:00,2008,9,September,3,11
2020-06-09 00:00:00+00:00,2020,6,June,2,12
2020-06-19 00:00:00+00:00,2020,6,June,2,13
2017-07-28 00:00:00+00:00,2017,7,July,3,14
1997-09-08 00:00:00+00:00,1997,9,September,3,15
2013-01-01 00:00:00+00:00,2013,1,January,1,16
2012-03-29 00:00:00+00:00,2012,3,March,1,17
2018-03-09 00:00:00+00:00,2018,3,March,1,18
2023-01-13 00:00:00+00:00,2023,1,January,1,19
2021-09-16 00:00:00+00:00,2021,9,September,3,20
2021-08-26 00:00:00+00:00,2021,8,August,3,21
2001-11-15 00:00:00+00:00,2001,11,November,4,22
2023-09-08 00:00:00+00:00,2023,9,September,3,23
2023-06-08 00:00:00+00:00,2023,6,June,2,24
2017-06-30 00:00:00+00:00,2017,6,June,2,25
2011-06-13 00:00:00+00:00,2011,6,June,2,26
2012-06-18 00:00:00+00:00,2012,6,June,2,27
2019-12-06 00:00:00+00:00,2019,12,December,4,28
2019-05-14 00:00:00+00:00,2019,5,May,2,29
2022-01-27 00:00:00+00:00,2022,1,January,1,30
2001-07-24 00:00:00+00:00,2001,7,July,3,31
2010-09-24 00:00:00+00:00,2010,9,September,3,32
2010-06-08 00:00:00+00:00,2010,6,June,2,33
2021-04-26 00:00:00+00:00,2021,4,April,2,34
2021-01-13 00:00:00+00:00,2021,1,January,1,35
2019-11-06 00:00:00+00:00,2019,11,November,4,36
2022-06-22 00:00:00+00:00,2022,6,June,2,37
2020-10-08 00:00:00+00:00,2020,10,October,4,38
2011-07-29 00:00:00+00:00,2011,7,July,3,39
2009-05-06 00:00:00+00:00,2009,5,May,2,40
1998-02-05 00:00:00+00:00,1998,2,February,1,41
2016-01-13 00:00:00+00:00,2016,1,January,1,42
2020-10-05 00:00:00+00:00,2020,10,October,4,43
2019-05-31 00:00:00+00:00,2019,5,May,2,44
2017-06-15 00:00:00+00:00,2017,6,June,2,45
2022-03-04 00:00:00+00:00,2022,3,March,1,46
2008-09-12 00:00:00+00:00,2008,9,September,3,47
2022-01-10 00:00:00+00:00,2022,1,January,1,48
2017-09-18 00:00:00+00:00,2017,9,September,3,49
2009-02-19 00:00:00+00:00,2009,2,February,1,50
2022-02-22 00:00:00+00:00,2022,2,February,1,51
2023-10-17 00:00:00+00:00,2023,10,October,4,52
2013-01-09 00:00:00+00:00,2013,1,January,1,53
2014-12-15 00:00:00+00:00,2014,12,December,4,54
2012-10-11 00:00:00+00:00,2012,10,October,4,55
2024-05-22 00:00:00+00:00,2024,5,May,2,56
2020-05-20 00:00:00+00:00,2020,5,May,2,57
2005-03-23 00:00:00+00:00,2005,3,March,1,58
2024-04-15 00:00:00+00:00,2024,4,April,2,59
2022-11-04 00:00:00+00:00,2022,11,November,4,60
2005-12-27 00:00:00+00:00,2005,12,December,4,61
2008-08-15 00:00:00+00:00,2008,8,August,3,62
2018-09-06 00:00:00+00:00,2018,9,September,3,63
2009-09-02 00:00:00+00:00,2009,9,September,3,64
2006-09-14 00:00:00+00:00,2006,9,September,3,65
2013-08-05 00:00:00+00:00,2013,8,August,3,66
2011-06-24 00:00:00+00:00,2011,6,June,2,67
2003-11-14 00:00:00+00:00,2003,11,November,4,68
2023-06-02 00:00:00+00:00,2023,6,June,2,69
1997-09-05 00:00:00+00:00,1997,9,September,3,70
2023-02-15 00:00:00+00:00,2023,2,February,1,71
2021-08-09 00:00:00+00:00,2021,8,August,3,72
2021-11-08 00:00:00+00:00,2021,11,November,4,73
2005-01-19 00:00:00+00:00,2005,1,January,1,74
2002-04-24 00:00:00+00:00,2002,4,April,2,75
2022-11-10 00:00:00+00:00,2022,11,November,4,76
2001-06-01 00:00:00+00:00,2001,6,June,2,77
2022-08-08 00:00:00+00:00,2022,8,August,3,78
2007-04-10 00:00:00+00:00,2007,4,April,2,79
2011-02-11 00:00:00+00:00,2011,2,February,1,80
2020-12-10 00:00:00+00:00,2020,12,December,4,81
2005-02-11 00:00:00+00:00,2005,2,February,1,82
2020-10-13 00:00:00+00:00,2020,10,October,4,83
2021-06-29 00:00:00+00:00,2021,6,June,2,84
2018-06-06 00:00:00+00:00,2018,6,June,2,85
2021-06-02 00:00:00+00:00,2021,6,June,2,86
2012-11-09 00:00:00+00:00,2012,11,November,4,87
2016-01-25 00:00:00+00:00,2016,1,January,1,88
2023-06-06 00:00:00+00:00,2023,6,June,2,89
2002-01-17 00:00:00+00:00,2002,1,January,1,90
2016-06-21 00:00:00+00:00,2016,6,June,2,91
2007-06-29 00:00:00+00:00,2007,6,June,2,92
2022-05-16 00:00:00+00:00,2022,5,May,2,93
2021-03-10 00:00:00+00:00,2021,3,March,1,94
2019-10-11 00:00:00+00:00,2019,10,October,4,95
2023-03-16 00:00:00+00:00,2023,3,March,1,96
2022-03-31 00:00:00+00:00,2022,3,March,1,97
2007-05-16 00:00:00+00:00,2007,5,May,2,98
2022-05-17 00:00:00+00:00,2022,5,May,2,99
2019-05-15 00:00:00+00:00,2019,5,May,2,100
2022-05-05 00:00:00+00:00,2022,5,May,2,101
2011-05-23 00:00:00+00:00,2011,5,May,2,102
2014-01-17 00:00:00+00:00,2014,1,January,1,103
2013-05-23 00:00:00+00:00,2013,5,May,2,104
1998-12-29 00:00:00+00:00,1998,12,December,4,105
2018-09-07 00:00:00+00:00,2018,9,September,3,106
2019-11-20 00:00:00+00:00,2019,11,November,4,107
2020-07-10 00:00:00+00:00,2020,7,July,3,108
2020-06-25 00:00:00+00:00,2020,6,June,2,109
2015-09-29 00:00:00+00:00,2015,9,September,3,110
2022-02-11 00:00:00+00:00,2022,2,February,1,111
2021-11-30 00:00:00+00:00,2021,11,November,4,112
2018-06-01 00:00:00+00:00,2018,6,June,2,113
2018-10-05 00:00:00+00:00,2018,10,October,4,114
2018-04-18 00:00:00+00:00,2018,4,April,2,115
2019-04-26 00:00:00+00:00,2019,4,April,2,116
2000-08-03 00:00:00+00:00,2000,8,August,3,117
2020-11-18 00:00:00+00:00,2020,11,November,4,118
2005-04-14 00:00:00+00:00,2005,4,April,2,119
2009-09-22 00:00:00+00:00,2009,9,September,3,120
2020-09-15 00:00:00+00:00,2020,9,September,3,121
2022-06-28 00:00:00+00:00,2022,6,June,2,122
2020-03-06 00:00:00+00:00,2020,3,March,1,123
2021-05-03 00:00:00+00:00,2021,5,May,2,124
2016-03-21 00:00:00+00:00,2016,3,March,1,125
2014-09-03 00:00:00+00:00,2014,9,September,3,126
2010-06-02 00:00:00+00:00,2010,6,June,2,127
2010-06-30 00:00:00+00:00,2010,6,June,2,128
2018-03-12 00:00:00+00:00,2018,3,March,1,129
2016-10-31 00:00:00+00:00,2016,10,October,4,130
2024-05-20 00:00:00+00:00,2024,5,May,2,131
2015-03-04 00:00:00+00:00,2015,3,March,1,132
2015-05-29 00:00:00+00:00,2015,5,May,2,133
2013-07-09 00:00:00+00:00,2013,7,July,3,134
2016-09-27 00:00:00+00:00,2016,9,September,3,135
2016-03-16 00:00:00+00:00,2016,3,March,1,136
2020-08-12 00:00:00+00:00,2020,8,August,3,137
2022-05-10 00:00:00+00:00,2022,5,May,2,138
2018-04-24 00:00:00+00:00,2018,4,April,2,139
2011-10-06 00:00:00+00:00,2011,10,October,4,140
2016-06-15 00:00:00+00:00,2016,6,June,2,141
2021-03-18 00:00:00+00:00,2021,3,March,1,142
2011-10-25 00:00:00+00:00,2011,10,October,4,143
2008-11-20 00:00:00+00:00,2008,11,November,4,144
1995-04-21 00:00:00+00:00,1995,4,April,2,145
2023-06-29 00:00:00+00:00,2023,6,June,2,146
2022-01-21 00:00:00+00:00,2022,1,January,1,147
2001-04-12 00:00:00+00:00,2001,4,April,2,148
2018-08-03 00:00:00+00:00,2018,8,August,3,149
1991-12-26 00:00:00+00:00,1991,12,December,4,150
2018-10-15 00:00:00+00:00,2018,10,October,4,151
2001-12-18 00:00:00+00:00,2001,12,December,4,152
2020-07-27 00:00:00+00:00,2020,7,July,3,153
2011-07-05 00:00:00+00:00,2011,7,July,3,154
2014-09-26 00:00:00+00:00,2014,9,September,3,155
2021-09-29 00:00:00+00:00,2021,9,September,3,156
2017-04-06 00:00:00+00:00,2017,4,April,2,157
2022-07-27 00:00:00+00:00,2022,7,July,3,158
2009-01-06 00:00:00+00:00,2009,1,January,1,159
2020-10-21 00:00:00+00:00,2020,10,October,4,160
2022-12-19 00:00:00+00:00,2022,12,December,4,161
2021-07-07 00:00:00+00:00,2021,7,July,3,162
1973-08-16 00:00:00+00:00,1973,8,August,3,163
2023-07-17 00:00:00+00:00,2023,7,July,3,164
2007-06-13 00:00:00+00:00,2007,6,June,2,165
2019-03-25 00:00:00+00:00,2019,3,March,1,166
2023-10-25 00:00:00+00:00,2023,10,October,4,167
2006-10-24 00:00:00+00:00,2006,10,October,4,168
1998-07-30 00:00:00+00:00,1998,7,July,3,169
2013-08-28 00:00:00+00:00,2013,8,August,3,170
2014-12-08 00:00:00+00:00,2014,12,December,4,171
2013-12-17 00:00:00+00:00,2013,12,December,4,172
2021-09-15 00:00:00+00:00,2021,9,September,3,173
1998-06-25 00:00:00+00:00,1998,6,June,2,174
2024-01-31 00:00:00+00:00,2024,1,January,1,175
2017-08-15 00:00:00+00:00,2017,8,August,3,176
2020-07-22 00:00:00+00:00,2020,7,July,3,177
2005-03-01 00:00:00+00:00,2005,3,March,1,178
2015-10-16 00:00:00+00:00,2015,10,October,4,179
2022-11-21 00:00:00+00:00,2022,11,November,4,180
2014-02-24 00:00:00+00:00,2014,2,February,1,181
2016-07-28 00:00:00+00:00,2016,7,July,3,182
2017-06-16 00:00:00+00:00,2017,6,June,2,183
2021-03-16 00:00:00+00:00,2021,3,March,1,184
2004-10-01 00:00:00+00:00,2004,10,October,4,185
2012-03-23 00:00:00+00:00,2012,3,March,1,186
2018-02-15 00:00:00+00:00,2018,2,February,1,187
2015-07-28 00:00:00+00:00,2015,7,July,3,188
2021-10-19 00:00:00+00:00,2021,10,October,4,189
2021-08-10 00:00:00+00:00,2021,8,August,3,190
2013-08-29 00:00:00+00:00,2013,8,August,3,191
2004-07-27 00:00:00+00:00,2004,7,July,3,192
2008-02-26 00:00:00+00:00,2008,2,February,1,193
1985-05-23 00:00:00+00:00,1985,5,May,2,194
2020-09-09 00:00:00+00:00,2020,9,September,3,195
2018-10-18 00:00:00+00:00,2018,10,October,4,196
2022-01-07 00:00:00+00:00,2022,1,January,1,197
2014-10-17 00:00:00+00:00,2014,10,October,4,198
2004-09-21 00:00:00+00:00,2004,9,September,3,199
2021-12-30 00:00:00+00:00,2021,12,December,4,200
2023-03-13 00:00:00+00:00,2023,3,March,1,201
2002-04-29 00:00:00+00:00,2002,4,April,2,202
2018-08-28 00:00:00+00:00,2018,8,August,3,203
2018-06-11 00:00:00+00:00,2018,6,June,2,204
2020-10-16 00:00:00+00:00,2020,10,October,4,205
2020-08-14 00:00:00+00:00,2020,8,August,3,206
2006-03-01 00:00:00+00:00,2006,3,March,1,207
2022-05-27 00:00:00+00:00,2022,5,May,2,208
2000-06-29 00:00:00+00:00,2000,6,June,2,209
1992-06-25 00:00:00+00:00,1992,6,June,2,210
2020-08-05 00:00:00+00:00,2020,8,August,3,211
2008-10-21 00:00:00+00:00,2008,10,October,4,212
2017-04-17 00:00:00+00:00,2017,4,April,2,213
2013-04-04 00:00:00+00:00,2013,4,April,2,214
2004-02-18 00:00:00+00:00,2004,2,February,1,215
2008-02-29 00:00:00+00:00,2008,2,February,1,216
1999-06-08 00:00:00+00:00,1999,6,June,2,217
2019-01-08 00:00:00+00:00,2019,1,January,1,218
2011-09-22 00:00:00+00:00,2011,9,September,3,219
2013-08-07 00:00:00+00:00,2013,8,August,3,220
2015-06-15 00:00:00+00:00,2015,6,June,2,221
2022-04-08 00:00:00+00:00,2022,4,April,2,222
2021-04-15 00:00:00+00:00,2021,4,April,2,223
2020-05-08 00:00:00+00:00,2020,5,May,2,224
2020-10-12 00:00:00+00:00,2020,10,October,4,225
2016-02-29 00:00:00+00:00,2016,2,February,1,226
2021-01-15 00:00:00+00:00,2021,1,January,1,227
2007-03-23 00:00:00+00:00,2007,3,March,1,228
2021-08-03 00:00:00+00:00,2021,8,August,3,229
2003-03-28 00:00:00+00:00,2003,3,March,1,230
2017-01-09 00:00:00+00:00,2017,1,January,1,231
1992-07-30 00:00:00+00:00,1992,7,July,3,232
2007-04-16 00:00:00+00:00,2007,4,April,2,233
2001-11-20 00:00:00+00:00,2001,11,November,4,234
2022-04-12 00:00:00+00:00,2022,4,April,2,235
2017-02-21 00:00:00+00:00,2017,2,February,1,236
2001-08-13 00:00:00+00:00,2001,8,August,3,237
2011-12-07 00:00:00+00:00,2011,12,December,4,238
2013-04-24 00:00:00+00:00,2013,4,April,2,239
2013-01-28 00:00:00+00:00,2013,1,January,1,240
2023-12-07 00:00:00+00:00,2023,12,December,4,241
1995-11-16 00:00:00+00:00,1995,11,November,4,242
2016-11-29 00:00:00+00:00,2016,11,November,4,243
2022-12-16 00:00:00+00:00,2022,12,December,4,244
2019-04-25 00:00:00+00:00,2019,4,April,2,245
1999-03-19 00:00:00+00:00,1999,3,March,1,246
1997-11-19 00:00:00+00:00,1997,11,November,4,247
2020-08-03 00:00:00+00:00,2020,8,August,3,248
1999-06-23 00:00:00+00:00,1999,6,June,2,249
2020-08-31 00:00:00+00:00,2020,8,August,3,250
2022-06-17 00:00:00+00:00,2022,6,June,2,251
2019-01-14 00:00:00+00:00,2019,1,January,1,252
2015-11-18 00:00:00+00:00,2015,11,November,4,253
2018-04-19 00:00:00+00:00,2018,4,April,2,254
2020-11-02 00:00:00+00:00,2020,11,November,4,255
2020-01-06 00:00:00+00:00,2020,1,January,1,256
2021-07-06 00:00:00+00:00,2021,7,July,3,257
1999-05-21 00:00:00+00:00,1999,5,May,2,258
2019-11-15 00:00:00+00:00,2019,11,November,4,259
2021-03-23 00:00:00+00:00,2021,3,March,1,260
2021-02-18 00:00:00+00:00,2021,2,February,1,261
1980-01-09 00:00:00+00:00,1980,1,January,1,262
2020-09-03 00:00:00+00:00,2020,9,September,3,263
2007-08-20 00:00:00+00:00,2007,8,August,3,264
2019-04-24 00:00:00+00:00,2019,4,April,2,265
2021-11-03 00:00:00+00:00,2021,11,November,4,266
2020-10-30 00:00:00+00:00,2020,10,October,4,267
2006-01-24 00:00:00+00:00,2006,1,January,1,268
2014-02-27 00:00:00+00:00,2014,2,February,1,269
2018-12-19 00:00:00+00:00,2018,12,December,4,270
2018-08-02 00:00:00+00:00,2018,8,August,3,271
2020-12-08 00:00:00+00:00,2020,12,December,4,272
1982-10-20 00:00:00+00:00,1982,10,October,4,273
2021-03-08 00:00:00+00:00,2021,3,March,1,274
2024-02-22 00:00:00+00:00,2024,2,February,1,275
2011-12-19 00:00:00+00:00,2011,12,December,4,276
2005-06-24 00:00:00+00:00,2005,6,June,2,277
2021-07-22 00:00:00+00:00,2021,7,July,3,278
2013-10-10 00:00:00+00:00,2013,10,October,4,279
2021-03-24 00:00:00+00:00,2021,3,March,1,280
2018-08-23 00:00:00+00:00,2018,8,August,3,281
2016-03-02 00:00:00+00:00,2016,3,March,1,282
2016-04-01 00:00:00+00:00,2016,4,April,2,283
2023-12-04 00:00:00+00:00,2023,12,December,4,284
2019-06-25 00:00:00+00:00,2019,6,June,2,285
2001-10-31 00:00:00+00:00,2001,10,October,4,286
1991-11-07 00:00:00+00:00,1991,11,November,4,287
2020-08-11 00:00:00+00:00,2020,8,August,3,288
2018-10-23 00:00:00+00:00,2018,10,October,4,289
2013-06-21 00:00:00+00:00,2013,6,June,2,290
2018-01-24 00:00:00+00:00,2018,1,January,1,291
1992-06-29 00:00:00+00:00,1992,6,June,2,292
2006-07-20 00:00:00+00:00,2006,7,July,3,293
1971-09-30 00:00:00+00:00,1971,9,September,3,294
2015-09-23 00:00:00+00:00,2015,9,September,3,295
2020-02-25 00:00:00+00:00,2020,2,February,1,296
2011-09-19 00:00:00+00:00,2011,9,September,3,297
